장바구니번호,회원번호(FK),장바구니구분
300301,110154,0
300302,110155,0
300303,120143,0
300304,110156,0
300305,120144,0
300306,110157,0
300307,110158,0
300308,120145,0
300309,110159,0
300310,110160,0
300311,110161,0
300312,120146,0
300313,120147,0
300314,120148,0
300315,110162,0
300316,110163,0
300317,110164,0
300318,110165,0
300319,120149,0
300320,110166,0
300321,110167,0
300322,110168,0
300323,110169,0
300324,120150,0
300325,120151,0
300326,110170,0
300327,110171,0
300328,110172,0
300329,110173,0
300330,110174,0
300331,120152,0
300332,120153,0
300333,110175,0
300334,120154,0
300335,110176,0
300336,110177,0
300337,110178,0
300338,110179,0
300339,120155,0
300340,120156,0
300341,120157,0
300342,120158,0
300343,110180,0
300344,110181,0
300345,120159,0
300346,110182,0
300347,120160,0
300348,120161,0
300349,121452,0
300350,120162,0
300351,110183,0
300352,120163,0
300353,120164,0
300354,120165,0
300355,120166,0
300356,120167,0
300357,110184,0
300358,120168,0
300359,120169,0
300360,110185,0
300361,110186,0
300362,120170,0
300363,120171,0
300364,110187,0
300365,120172,0
300366,110188,0
300367,120173,0
300368,110189,0
300369,110190,0
300370,120174,0
300371,110191,0
300372,120175,0
300373,110192,0
300374,110193,0
300375,110194,0
300376,120176,0
300377,120177,0
300378,120178,0
300379,120179,0
300380,110195,0
300381,120180,0
300382,120181,0
300383,121455,0
300384,120182,0
300385,120183,0
300386,110196,0
300387,120184,0
300388,120185,0
300389,110197,0
300390,120186,0
300391,121425,0
300392,120187,0
300393,120188,0
300394,110198,0
300395,110199,0
300396,110200,0
300397,120189,0
300398,110201,0
300399,120190,0
300400,120191,0
300401,110202,0
300402,121484,0
300403,110203,0
300404,120192,0
300405,110204,0
300406,120193,0
300407,110205,0
300408,120194,0
300409,110206,0
300410,120195,0
300411,120196,0
300412,120197,0
300413,110207,0
300414,110208,0
300415,120198,0
300416,110209,0
300417,110210,0
300418,120199,0
300419,110211,0
300420,120200,0
300421,110212,0
300422,110213,0
300423,120201,0
300424,110214,0
300425,120202,0
300426,120203,0
300427,120204,0
300428,120205,0
300429,120206,0
300430,110215,0
300431,121447,0
300432,120207,0
300433,120208,0
300434,110216,0
300435,120209,0
300436,120210,0
300437,120211,0
300438,110217,0
300439,110218,0
300440,120212,0
300441,110219,0
300442,110220,0
300443,110221,0
300444,110222,0
300445,110223,0
300446,120213,0
300447,110224,0
300448,120214,0
300449,110225,0
300450,110226,0
300451,120215,0
300452,120216,0
300453,120217,0
300454,120218,0
300455,110227,0
300456,120219,0
300457,121439,0
300458,120220,0
300459,110228,0
300460,110229,0
300461,120221,0
300462,121451,0
300463,120222,0
300464,110230,0
300465,110231,0
300466,121406,0
300467,120223,0
300468,120224,0
300469,120225,0
300470,110232,0
300471,120226,0
300472,110233,0
300473,120227,0
300474,120228,0
300475,110234,0
300476,121421,0
300477,120229,0
300478,120230,0
300479,120231,0
300480,110235,0
300481,121476,0
300482,110236,0
300483,120232,0
300484,120233,0
300485,120234,0
300486,120235,0
300487,110237,0
300488,110238,0
300489,120236,0
300490,120237,0
300491,120238,0
300492,110239,0
300493,110240,0
300494,110241,0
300495,110242,0
300496,110243,0
300497,110244,0
300498,121462,0
300499,110245,0
300500,110246,0
300501,110247,0
300502,120239,0
300503,110248,0
300504,120240,0
300505,110249,0
300506,110250,0
300507,110251,0
300508,110252,0
300509,110253,0
300510,110254,0
300511,110255,0
300512,110256,0
300513,120241,0
300514,120242,0
300515,110257,0
300516,110258,0
300517,110259,0
300518,120243,0
300519,120244,0
300520,110260,0
300521,110261,0
300522,110262,0
300523,120245,0
300524,120246,0
300525,120247,0
300526,110263,0
300527,120248,0
300528,120249,0
300529,120250,0
300530,120251,0
300531,110264,0
300532,110265,0
300533,110266,0
300534,120252,0
300535,110267,0
300536,110268,0
300537,120253,0
300538,120254,0
300539,120255,0
300540,110269,0
300541,110270,0
300542,110271,0
300543,110272,0
300544,110273,0
300545,110274,0
300546,110275,0
300547,110276,0
300548,110277,0
300549,110278,0
300550,120256,0
300551,110279,0
300552,120257,0
300553,110280,0
300554,120258,0
300555,110281,0
300556,120259,0
300557,110282,0
300558,120260,0
300559,120261,0
300560,120262,0
300561,120263,0
300562,120264,0
300563,120265,0
300564,120266,0
300565,120267,0
300566,110283,0
300567,120268,0
300568,110284,0
300569,120269,0
300570,120270,0
300571,120271,0
300572,120272,0
300573,110285,0
300574,120273,0
300575,110286,0
300576,110287,0
300577,120274,0
300578,110288,0
300579,110289,0
300580,110290,0
300581,110291,0
300582,110292,0
300583,110293,0
300584,110294,0
300585,120275,0
300586,110295,0
300587,110296,0
300588,110297,0
300589,110298,0
300590,120276,0
300591,110299,0
300592,110300,0
300593,121460,0
300594,110301,0
300595,120277,0
300596,120278,0
300597,110302,0
300598,121474,0
300599,110303,0
300600,120279,0
300601,120280,0
300602,110304,0
300603,120281,0
300604,120282,0
300605,120283,0
300606,120284,0
300607,120285,0
300608,110305,0
300609,120286,0
300610,120287,0
300611,120288,0
300612,110306,0
300613,120289,0
300614,110307,0
300615,120290,0
300616,120291,0
300617,110308,0
300618,120292,0
300619,120293,0
300620,120294,0
300621,120295,0
300622,120296,0
300623,110309,0
300624,110310,0
300625,110311,0
300626,120297,0
300627,121426,0
300628,121480,0
300629,110312,0
300630,120298,0
300631,120299,0
300632,120300,0
300633,120301,0
300634,120302,0
300635,110313,0
300636,110314,0
300637,120303,0
300638,110315,0
300639,110316,0
300640,120304,0
300641,120305,0
300642,120306,0
300643,120307,0
300644,120308,0
300645,110317,0
300646,121414,0
300647,120309,0
300648,110318,0
300649,110319,0
300650,110320,0
300651,110321,0
300652,120310,0
300653,110322,0
300654,110323,0
300655,110324,0
300656,110325,0
300657,120311,0
300658,120312,0
300659,120313,0
300660,110326,0
300661,120314,0
300662,110327,0
300663,110328,0
300664,120315,0
300665,110329,0
300666,120316,0
300667,121494,0
300668,110330,0
300669,110331,0
300670,120317,0
300671,120318,0
300672,120319,0
300673,120320,0
300674,120321,0
300675,120322,0
300676,110332,0
300677,120323,0
300678,110333,0
300679,120324,0
300680,110334,0
300681,120325,0
300682,120326,0
300683,120327,0
300684,120328,0
300685,110335,0
300686,110336,0
300687,120329,0
300688,110337,0
300689,110338,0
300690,110339,0
300691,110340,0
300692,110341,0
300693,120330,0
300694,110342,0
300695,110343,0
300696,110344,0
300697,120331,0
300698,110345,0
300699,110346,0
300700,120332,0
300701,120333,0
300702,121488,0
300703,120334,0
300704,120335,0
300705,110347,0
300706,120336,0
300707,110348,0
300708,110349,0
300709,120337,0
300710,110350,0
300711,110351,0
300712,110352,0
300713,120338,0
300714,110353,0
300715,110354,0
300716,120339,0
300717,120340,0
300718,110355,0
300719,121457,0
300720,120341,0
300721,110356,0
300722,120342,0
300723,110357,0
300724,110358,0
300725,110359,0
300726,110360,0
300727,120343,0
300728,120344,0
300729,110361,0
300730,120345,0
300731,110362,0
300732,110363,0
300733,120346,0
300734,110364,0
300735,110365,0
300736,110366,0
300737,110367,0
300738,121412,0
300739,110368,0
300740,110369,0
300741,110370,0
300742,120347,0
300743,120348,0
300744,110371,0
300745,110372,0
300746,120349,0
300747,120350,0
300748,120351,0
300749,110373,0
300750,120352,0
300751,120353,0
300752,110374,0
300753,110375,0
300754,110376,0
300755,120354,0
300756,120355,0
300757,120356,0
300758,110377,0
300759,110378,0
300760,120357,0
300761,120358,0
300762,110379,0
300763,120359,0
300764,110380,0
300765,120360,0
300766,110381,0
300767,120361,0
300768,110382,0
300769,110383,0
300770,110384,0
300771,120362,0
300772,110385,0
300773,120363,0
300774,110386,0
300775,120364,0
300776,120365,0
300777,120366,0
300778,110387,0
300779,110388,0
300780,121402,0
300781,110389,0
300782,110390,0
300783,120367,0
300784,110391,0
300785,120368,0
300786,110392,0
300787,110393,0
300788,110394,0
300789,120369,0
300790,120370,0
300791,120371,0
300792,120372,0
300793,110395,0
300794,120373,0
300795,110396,0
300796,120374,0
300797,110397,0
300798,120375,0
300799,110398,0
300800,110399,0
300801,110400,0
300802,120376,0
300803,110401,0
300804,110402,0
300805,120377,0
300806,110403,0
300807,110404,0
300808,120378,0
300809,120379,0
300810,110405,0
300811,110406,0
300812,120380,0
300813,120381,0
300814,110407,0
300815,110408,0
300816,110409,0
300817,120382,0
300818,120383,0
300819,120384,0
300820,110410,0
300821,110411,0
300822,110412,0
300823,120385,0
300824,110413,0
300825,120386,0
300826,110414,0
300827,120387,0
300828,110415,0
300829,120388,0
300830,110416,0
300831,110417,0
300832,110418,0
300833,110419,0
300834,120389,0
300835,110420,0
300836,110421,0
300837,120390,0
300838,120391,0
300839,110422,0
300840,120392,0
300841,110423,0
300842,120393,0
300843,110424,0
300844,110425,0
300845,110426,0
300846,120394,0
300847,110427,0
300848,110428,0
300849,120395,0
300850,120396,0
300851,120397,0
300852,120398,0
300853,120399,0
300854,120400,0
300855,110429,0
300856,110430,0
300857,110431,0
300858,110432,0
300859,120401,0
300860,120402,0
300861,121440,0
300862,120403,0
300863,120404,0
300864,110433,0
300865,110434,0
300866,120405,0
300867,110435,0
300868,110436,0
300869,110437,0
300870,120406,0
300871,120407,0
300872,110438,0
300873,120408,0
300874,120409,0
300875,120410,0
300876,120411,0
300877,120412,0
300878,120413,0
300879,110439,0
300880,110440,0
300881,120414,0
300882,110441,0
300883,120415,0
300884,110442,0
300885,110443,0
300886,110444,0
300887,120416,0
300888,110445,0
300889,110446,0
300890,110447,0
300891,110448,0
300892,120417,0
300893,120418,0
300894,120419,0
300895,110449,0
300896,110450,0
300897,120420,0
300898,110451,0
300899,110452,0
300900,110453,0
300901,110454,0
300902,110455,0
300903,110456,0
300904,120421,0
300905,120422,0
300906,120423,0
300907,110457,0
300908,110458,0
300909,120424,0
300910,120425,0
300911,120426,0
300912,120427,0
300913,120428,0
300914,110459,0
300915,110460,0
300916,110461,0
300917,110462,0
300918,110463,0
300919,110464,0
300920,110465,0
300921,120429,0
300922,120430,0
300923,121495,0
300924,110466,0
300925,110467,0
300926,110468,0
300927,110469,0
300928,110470,0
300929,110471,0
300930,110472,0
300931,120431,0
300932,110473,0
300933,110474,0
300934,120432,0
300935,110475,0
300936,121499,0
300937,120433,0
300938,110476,0
300939,120434,0
300940,120435,0
300941,110477,0
300942,120436,0
300943,110478,0
300944,120437,0
300945,110479,0
300946,110480,0
300947,120438,0
300948,120439,0
300949,120440,0
300950,110481,0
300951,120441,0
300952,110482,0
300953,120442,0
300954,120443,0
300955,120444,0
300956,120445,0
300957,110483,0
300958,110484,0
300959,110485,0
300960,120446,0
300961,110486,0
300962,120447,0
300963,110487,0
300964,121415,0
300965,110488,0
300966,110489,0
300967,110490,0
300968,120448,0
300969,120449,0
300970,120450,0
300971,110491,0
300972,120451,0
300973,120452,0
300974,110492,0
300975,110493,0
300976,110494,0
300977,110495,0
300978,110496,0
300979,120453,0
300980,120454,0
300981,120455,0
300982,120456,0
300983,120457,0
300984,121401,0
300985,120458,0
300986,120459,0
300987,110497,0
300988,110498,0
300989,120460,0
300990,120461,0
300991,120462,0
300992,110499,0
300993,120463,0
300994,120464,0
300995,120465,0
300996,120466,0
300997,110500,0
300998,120467,0
300999,120468,0
301000,120469,0
301001,120470,0
301002,110501,0
301003,120471,0
301004,120472,0
301005,110502,0
301006,110503,0
301007,110504,0
301008,120473,0
301009,120474,0
301010,120475,0
301011,110505,0
301012,110506,0
301013,110507,0
301014,110508,0
301015,120476,0
301016,110509,0
301017,110510,0
301018,120477,0
301019,120478,0
301020,120479,0
301021,120480,0
301022,120481,0
301023,120482,0
301024,110511,0
301025,110512,0
301026,120483,0
301027,110513,0
301028,110514,0
301029,110515,0
301030,120484,0
301031,110516,0
301032,120485,0
301033,110517,0
301034,120486,0
301035,120487,0
301036,120488,0
301037,120489,0
301038,110518,0
301039,110519,0
301040,120490,0
301041,110520,0
301042,120491,0
301043,110521,0
301044,110522,0
301045,120492,0
301046,110523,0
301047,110524,0
301048,120493,0
301049,110525,0
301050,120494,0
301051,110526,0
301052,120495,0
301053,120496,0
301054,110527,0
301055,120497,0
301056,110528,0
301057,110529,0
301058,110530,0
301059,110531,0
301060,110532,0
301061,110533,0
301062,120498,0
301063,120499,0
301064,110534,0
301065,110535,0
301066,110536,0
301067,110537,0
301068,120500,0
301069,120501,0
301070,120502,0
301071,120503,0
301072,120504,0
301073,110538,0
301074,120505,0
301075,120506,0
301076,121428,0
301077,110539,0
301078,120507,0
301079,110540,0
301080,110541,0
301081,110542,0
301082,110543,0
301083,120508,0
301084,110544,0
301085,120509,0
301086,120510,0
301087,110545,0
301088,110546,0
301089,110547,0
301090,110548,0
301091,110549,0
301092,110550,0
301093,120511,0
301094,120512,0
301095,110551,0
301096,110552,0
301097,120513,0
301098,110553,0
301099,110554,0
301100,110555,0
301101,120514,0
301102,110556,0
301103,110557,0
301104,120515,0
301105,120516,0
301106,110558,0
301107,110559,0
301108,110560,0
301109,110561,0
301110,110562,0
301111,110563,0
301112,110564,0
301113,120517,0
301114,110565,0
301115,110566,0
301116,120518,0
301117,120519,0
301118,110567,0
301119,121475,0
301120,110568,0
301121,120520,0
301122,120521,0
301123,120522,0
301124,120523,0
301125,120524,0
301126,110569,0
301127,110570,0
301128,120525,0
301129,110571,0
301130,120526,0
301131,110572,0
301132,110573,0
301133,110574,0
301134,110575,0
301135,110576,0
301136,120527,0
301137,110577,0
301138,110578,0
301139,110579,0
301140,120528,0
301141,120529,0
301142,120530,0
301143,120531,0
301144,110580,0
301145,120532,0
301146,110581,0
301147,110582,0
301148,110583,0
301149,110584,0
301150,120533,0
301151,120534,0
301152,110585,0
301153,120535,0
301154,120536,0
301155,120537,0
301156,120538,0
301157,110586,0
301158,110587,0
301159,120539,0
301160,110588,0
301161,110589,0
301162,110590,0
301163,110591,0
301164,120540,0
301165,120541,0
301166,121420,0
301167,120542,0
301168,120543,0
301169,110592,0
301170,120544,0
301171,110593,0
301172,110594,0
301173,110595,0
301174,110596,0
301175,110597,0
301176,120545,0
301177,110598,0
301178,110599,0
301179,110600,0
301180,120546,0
301181,120547,0
301182,120548,0
301183,110601,0
301184,121433,0
301185,110602,0
301186,120549,0
301187,120550,0
301188,110603,0
301189,110604,0
301190,120551,0
301191,120552,0
301192,120553,0
301193,110605,0
301194,120554,0
301195,120555,0
301196,120556,0
301197,120557,0
301198,110606,0
301199,110607,0
301200,110608,0
301201,120558,0
301202,110609,0
301203,120559,0
301204,120560,0
301205,110610,0
301206,110611,0
301207,110612,0
301208,110613,0
301209,120561,0
301210,110614,0
301211,110615,0
301212,110616,0
301213,120562,0
301214,120563,0
301215,120564,0
301216,121419,0
301217,120565,0
301218,110617,0
301219,110618,0
301220,120566,0
301221,120567,0
301222,110619,0
301223,120568,0
301224,110620,0
301225,110621,0
301226,110622,0
301227,120569,0
301228,120570,0
301229,110623,0
301230,110624,0
301231,110625,0
301232,120571,0
301233,120572,0
301234,120573,0
301235,110626,0
301236,120574,0
301237,110627,0
301238,110628,0
301239,110629,0
301240,110630,0
301241,110631,0
301242,120575,0
301243,120576,0
301244,110632,0
301245,110633,0
301246,120577,0
301247,110634,0
301248,120578,0
301249,110635,0
301250,110636,0
301251,110637,0
301252,120579,0
301253,120580,0
301254,110638,0
301255,110639,0
301256,120581,0
301257,120582,0
301258,120583,0
301259,120584,0
301260,120585,0
301261,120586,0
301262,120587,0
301263,120588,0
301264,110640,0
301265,110641,0
301266,110642,0
301267,120589,0
301268,110643,0
301269,110644,0
301270,120590,0
301271,120591,0
301272,120592,0
301273,110645,0
301274,110646,0
301275,110647,0
301276,120593,0
301277,120594,0
301278,110648,0
301279,120595,0
301280,110649,0
301281,120596,0
301282,120597,0
301283,110650,0
301284,120598,0
301285,120599,0
301286,120600,0
301287,121413,0
301288,110651,0
301289,110652,0
301290,110653,0
301291,120601,0
301292,120602,0
301293,120603,0
301294,121403,0
301295,120604,0
301296,120605,0
301297,110654,0
301298,120606,0
301299,120607,0
301300,120608,0
301301,120609,0
301302,120610,0
301303,110655,0
301304,120611,0
301305,110656,0
301306,120612,0
301307,120613,0
301308,110657,0
301309,120614,0
301310,120615,0
301311,120616,0
301312,120617,0
301313,110658,0
301314,110659,0
301315,110660,0
301316,120618,0
301317,110661,0
301318,110662,0
301319,110663,0
301320,120619,0
301321,120620,0
301322,120621,0
301323,110664,0
301324,110665,0
301325,110666,0
301326,120622,0
301327,120623,0
301328,110667,0
301329,110668,0
301330,110669,0
301331,110670,0
301332,120624,0
301333,110671,0
301334,120625,0
301335,120626,0
301336,110672,0
301337,120627,0
301338,110673,0
301339,110674,0
301340,110675,0
301341,110676,0
301342,110677,0
301343,120628,0
301344,110678,0
301345,110679,0
301346,120629,0
301347,110680,0
301348,120630,0
301349,120631,0
301350,110681,0
301351,110682,0
301352,110683,0
301353,121411,0
301354,110684,0
301355,120632,0
301356,120633,0
301357,120634,0
301358,110685,0
301359,110686,0
301360,110687,0
301361,120635,0
301362,120636,0
301363,110688,0
301364,120637,0
301365,120638,0
301366,110689,0
301367,110690,0
301368,110691,0
301369,120639,0
301370,120640,0
301371,120641,0
301372,120642,0
301373,110692,0
301374,120643,0
301375,121456,0
301376,110693,0
301377,120644,0
301378,120645,0
301379,110694,0
301380,110695,0
301381,120646,0
301382,110696,0
301383,120647,0
301384,120648,0
301385,110697,0
301386,110698,0
301387,120649,0
301388,120650,0
301389,120651,0
301390,110699,0
301391,120652,0
301392,120653,0
301393,110700,0
301394,110701,0
301395,110702,0
301396,110703,0
301397,110704,0
301398,120654,0
301399,120655,0
301400,120656,0
301401,110705,0
301402,120657,0
301403,120658,0
301404,120659,0
301405,110706,0
301406,110707,0
301407,120660,0
301408,120661,0
301409,120662,0
301410,120663,0
301411,110708,0
301412,120664,0
301413,110709,0
301414,120665,0
301415,110710,0
301416,120666,0
301417,110711,0
301418,110712,0
301419,110713,0
301420,120667,0
301421,120668,0
301422,110714,0
301423,120669,0
301424,121464,0
301425,110715,0
301426,120670,0
301427,110716,0
301428,120671,0
301429,110717,0
301430,110718,0
301431,120672,0
301432,110719,0
301433,120673,0
301434,120674,0
301435,120675,0
301436,120676,0
301437,110720,0
301438,110721,0
301439,110722,0
301440,120677,0
301441,110723,0
301442,120678,0
301443,120679,0
301444,120680,0
301445,120681,0
301446,120682,0
301447,110724,0
301448,120683,0
301449,110725,0
301450,110726,0
301451,110727,0
301452,110728,0
301453,120684,0
301454,110729,0
301455,110730,0
301456,110731,0
301457,110732,0
301458,110733,0
301459,110734,0
301460,121423,0
301461,120685,0
301462,110735,0
301463,110736,0
301464,110737,0
301465,110738,0
301466,110739,0
301467,110740,0
301468,110741,0
301469,110742,0
301470,120686,0
301471,120687,0
301472,110743,0
301473,110744,0
301474,110745,0
301475,121483,0
301476,110746,0
301477,110747,0
301478,110748,0
301479,110749,0
301480,110750,0
301481,120688,0
301482,110751,0
301483,110752,0
301484,110753,0
301485,120689,0
301486,110754,0
301487,110755,0
301488,110756,0
301489,120690,0
301490,120691,0
301491,110757,0
301492,121449,0
301493,121466,0
301494,110758,0
301495,110759,0
301496,110760,0
301497,120692,0
301498,121430,0
301499,110761,0
301500,110762,0
301501,110763,0
301502,110764,0
301503,110765,0
301504,110766,0
301505,120693,0
301506,120694,0
301507,110767,0
301508,110768,0
301509,120695,0
301510,120696,0
301511,120697,0
301512,120698,0
301513,120699,0
301514,120700,0
301515,110769,0
301516,110770,0
301517,120701,0
301518,120702,0
301519,110771,0
301520,120703,0
301521,110772,0
301522,120704,0
301523,120705,0
301524,120706,0
301525,110773,0
301526,120707,0
301527,110774,0
301528,110775,0
301529,110776,0
301530,120708,0
301531,110777,0
301532,120709,0
301533,120710,0
301534,110778,0
301535,110779,0
301536,121492,0
301537,110780,0
301538,110781,0
301539,121431,0
301540,120711,0
301541,120712,0
301542,110782,0
301543,120713,0
301544,120714,0
301545,120715,0
301546,110783,0
301547,110784,0
301548,120716,0
301549,120717,0
301550,120718,0
301551,110785,0
301552,120719,0
301553,120720,0
301554,110786,0
301555,110787,0
301556,120721,0
301557,110788,0
301558,120722,0
301559,120723,0
301560,120724,0
301561,110789,0
301562,110790,0
301563,120725,0
301564,110791,0
301565,120726,0
301566,120727,0
301567,110792,0
301568,120728,0
301569,110793,0
301570,110794,0
301571,110795,0
301572,120729,0
301573,120730,0
301574,110796,0
301575,120731,0
301576,120732,0
301577,120733,0
301578,120734,0
301579,110797,0
301580,120735,0
301581,110798,0
301582,120736,0
301583,120737,0
301584,110799,0
301585,120738,0
301586,110800,0
301587,110801,0
301588,110802,0
301589,120739,0
301590,110803,0
301591,120740,0
301592,120741,0
301593,120742,0
301594,120743,0
301595,110804,0
301596,120744,0
301597,120745,0
301598,120746,0
301599,110805,0
301600,121429,0
301601,110806,0
301602,120747,0
301603,120748,0
301604,110807,0
301605,120749,0
301606,120750,0
301607,110808,0
301608,110809,0
301609,120751,0
301610,120752,0
301611,120753,0
301612,110810,0
301613,110811,0
301614,120754,0
301615,110812,0
301616,110813,0
301617,120755,0
301618,120756,0
301619,120757,0
301620,120758,0
301621,120759,0
301622,120760,0
301623,110814,0
301624,110815,0
301625,110816,0
301626,110817,0
301627,110818,0
301628,110819,0
301629,120761,0
301630,110820,0
301631,110821,0
301632,110822,0
301633,110823,0
301634,110824,0
301635,110825,0
301636,120762,0
301637,110826,0
301638,110827,0
301639,120763,0
301640,121468,0
301641,120764,0
301642,110828,0
301643,120765,0
301644,120766,0
301645,110829,0
301646,110830,0
301647,120767,0
301648,120768,0
301649,120769,0
301650,120770,0
301651,120771,0
301652,110831,0
301653,110832,0
301654,120772,0
301655,120773,0
301656,110833,0
301657,121404,0
301658,110834,0
301659,120774,0
301660,120775,0
301661,120776,0
301662,120777,0
301663,120778,0
301664,120779,0
301665,110835,0
301666,110836,0
301667,120780,0
301668,120781,0
301669,110837,0
301670,110838,0
301671,121409,0
301672,110839,0
301673,120782,0
301674,110840,0
301675,110841,0
301676,110842,0
301677,120783,0
301678,120784,0
301679,110843,0
301680,120785,0
301681,110844,0
301682,120786,0
301683,120787,0
301684,110845,0
301685,110846,0
301686,120788,0
301687,110847,0
301688,110848,0
301689,110849,0
301690,110850,0
301691,120789,0
301692,110851,0
301693,120790,0
301694,120791,0
301695,110852,0
301696,120792,0
301697,120793,0
301698,120794,0
301699,120795,0
301700,120796,0
301701,110853,0
301702,110854,0
301703,110855,0
301704,120797,0
301705,110856,0
301706,110857,0
301707,120798,0
301708,110858,0
301709,120799,0
301710,110859,0
301711,120800,0
301712,120801,0
301713,110860,0
301714,110861,0
301715,110862,0
301716,120802,0
301717,120803,0
301718,110863,0
301719,110864,0
301720,110865,0
301721,120804,0
301722,120805,0
301723,120806,0
301724,120807,0
301725,110866,0
301726,121417,0
301727,120808,0
301728,120809,0
301729,110867,0
301730,110868,0
301731,110869,0
301732,120810,0
301733,110870,0
301734,110871,0
301735,110872,0
301736,110873,0
301737,110874,0
301738,110875,0
301739,110876,0
301740,110877,0
301741,110878,0
301742,120811,0
301743,110879,0
